408,60,7.112e-2
408,80,6.986e-2
401,90,1.058e-1
401,100,1.060e-1
400,150,1.203e-1
400,200,8.029e-2
400,250,5.134e-3
500,60,5.792e-3
500,80,3.224e-2
500,90,3.727e-2
500,100,1.786e-2
500,150,2.222e-2
500,200,2.194e-2
500,250,4.259e-2
500,300,2.617e-2
600,60,2.913e-3
600,80,2.839e-2
600,90,2.275e-2
600,100,2.237e-2
600,150,1.053e-2
600,200,2.496e-2
600,250,1.185e-2
600,300,1.840e-2
600,400,2.707e-3
700,60,1.856e-2
700,80,1.924e-2
700,90,1.941e-2
700,100,1.941e-2
700,150,7.745e-3
700,200,6.454e-3
700,250,1.436e-2
700,300,7.742e-3
700,400,3.427e-3
700,500,5.079e-4
800,60,8.404e-3
800,80,8.447e-3
800,90,8.520e-3
800,100,8.648e-3
800,150,2.825e-3
800,200,3.934e-3
800,250,5.297e-3
800,300,3.844e-3
800,400,1.727e-3
800,500,6.218e-4
800,600,1.236e-4
900,60,4.060e-3
900,80,4.081e-3
900,90,4.108e-3
900,100,4.056e-3
900,150,4.203e-3
900,200,4.209e-3
900,250,3.157e-3
900,300,3.390e-3
900,400,5.960e-4
900,500,3.302e-4
900,600,1.803e-4
900,700,2.469e-5
1000,60,1.893e-3
1000,80,1.905e-3
1000,90,1.917e-3
1000,100,1.888e-3
1000,150,2.062e-3
1000,200,2.196e-3
1000,250,1.442e-3
1000,300,1.366e-3
1000,400,3.429e-4
1000,500,1.725e-4
1000,600,1.328e-4
1000,700,6.114e-5
1000,800,6.678e-6
1200,60,5.087e-4
1200,80,5.125e-4
1200,100,5.033e-4
1200,150,4.917e-4
1200,200,5.434e-4
1200,300,4.484e-4
1200,400,1.108e-4
1200,500,5.677e-5
1200,600,4.245e-5
1200,700,3.157e-5
1200,800,2.214e-5
1400,60,1.595e-4
1400,80,1.677e-4
1400,100,1.543e-4
1400,150,1.562e-4
1400,200,1.392e-4
1400,300,1.295e-4
1400,400,4.102e-5
1400,500,2.150e-5
1400,600,1.619e-5
1400,700,9.399e-6
1400,800,4.745e-6
1600,60,4.685e-5
1600,80,4.723e-5
1600,100,4.387e-5
1600,150,4.293e-5
1600,200,4.493e-5
1600,300,3.124e-5
1600,400,1.261e-5
1600,500,6.427e-6
1600,600,4.705e-6
1600,700,1.827e-6
1600,800,1.097e-6
1800,60,1.646e-5
1800,80,1.681e-5
1800,100,1.650e-5
1800,150,1.494e-5
1800,200,1.537e-5
1800,300,8.187e-6
1800,400,4.731e-6
1800,500,2.567e-6
1800,600,1.898e-6
1800,700,4.127e-7
1800,800,2.237e-7
2000,60,6.318e-6
2000,80,6.409e-6
2000,100,6.335e-6
2000,150,6.583e-6
2000,200,6.366e-6
2000,300,1.430e-6
2000,400,1.927e-6
2000,500,1.242e-6
2000,600,1.076e-6
2000,700,6.211e-7
2000,800,1.730e-7
