bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,"Sig (mX=700,mY=400) / GeV","Sig (mX=900,mY=600) / GeV","Sig (mX=1600,mY=200) / GeV",Data / bkg,Data unc. / data,Bkg unc. / bkg
340.0000,360.0000,323.1019,24.7157,299.6500,3.8707,2.6262,1.4998,0.0411,0.9274,0.0129,0.0765
360.0000,392.0000,402.4983,21.4005,361.2188,3.3598,3.4243,2.3202,0.0205,0.8974,0.0093,0.0532
392.0000,424.0000,435.0788,23.7962,401.5938,3.5426,6.3519,3.5581,0.1606,0.9230,0.0088,0.0547
424.0000,456.0000,435.0325,19.3210,412.9375,3.5923,10.5595,5.0630,0.1141,0.9492,0.0087,0.0444
456.0000,488.0000,409.5047,19.1050,394.4062,3.5107,16.2169,6.4133,0.1004,0.9631,0.0089,0.0467
488.0000,520.0000,372.7959,17.6790,359.8125,3.3532,24.0249,8.6169,0.3095,0.9652,0.0093,0.0474
520.0000,552.0000,332.9851,15.0714,325.7812,3.1907,35.1633,10.6892,0.3427,0.9784,0.0098,0.0453
552.0000,584.0000,299.8434,13.4747,282.2188,2.9697,51.3783,14.4317,0.3566,0.9412,0.0105,0.0449
584.0000,616.0000,254.0714,13.9228,240.8750,2.7436,69.6363,18.0659,0.3267,0.9481,0.0114,0.0548
616.0000,648.0000,219.6924,9.9829,207.7500,2.5480,93.0817,22.4293,0.3973,0.9456,0.0123,0.0454
648.0000,704.0000,180.3654,8.8848,177.2143,1.7789,101.9143,32.1168,0.5531,0.9825,0.0100,0.0493
704.0000,768.0000,136.6484,6.1581,130.3906,1.4274,35.8924,49.2955,0.7054,0.9542,0.0109,0.0451
768.0000,832.0000,102.5861,4.4900,99.1094,1.2444,4.5932,71.6999,0.6971,0.9661,0.0126,0.0438
832.0000,896.0000,77.3086,3.1790,74.7500,1.0807,2.2389,82.7701,0.8886,0.9669,0.0145,0.0411
896.0000,960.0000,57.1587,2.5379,54.5156,0.9229,1.3166,37.0904,1.0445,0.9538,0.0169,0.0444
960.0000,1024.0000,43.8032,1.8548,42.5156,0.8151,0.9984,6.0516,1.1238,0.9706,0.0192,0.0423
1024.0000,1088.0000,34.1997,1.4602,30.7812,0.6935,0.8696,2.1470,1.4265,0.9000,0.0225,0.0427
1088.0000,1152.0000,26.3377,1.1170,24.1719,0.6146,0.5754,1.3048,2.0683,0.9178,0.0254,0.0424
1152.0000,1216.0000,20.3585,0.8964,18.5000,0.5376,0.4676,0.9624,2.7115,0.9087,0.0291,0.0440
1216.0000,1296.0000,14.6240,0.7001,14.7625,0.4296,0.4176,0.6738,4.3913,1.0095,0.0291,0.0479
1296.0000,1424.0000,10.0954,0.4698,9.9531,0.2789,0.3054,0.4791,10.2088,0.9859,0.0280,0.0465
1424.0000,1552.0000,6.6003,0.4604,5.7188,0.2114,0.2425,0.2915,32.2371,0.8664,0.0370,0.0697
1552.0000,1680.0000,4.2718,0.3252,3.7812,0.1719,0.1251,0.2049,44.3634,0.8852,0.0455,0.0761
1680.0000,1808.0000,2.5086,0.1427,2.5391,0.1408,0.0921,0.1924,7.4194,1.0121,0.0555,0.0569
1808.0000,1936.0000,1.6384,0.1078,1.4922,0.1080,0.0969,0.1028,0.9585,0.9108,0.0724,0.0658
