bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,"Sig (mX=700,mY=400) / GeV","Sig (mX=900,mY=600) / GeV","Sig (mX=1600,mY=200) / GeV",Data / bkg,Data unc. / data,Bkg unc. / bkg
36.0000,51.0000,62.1838,4.7509,60.5333,2.0089,0.2129,0.0600,0.2782,0.9735,0.0332,0.0764
51.0000,62.0000,207.6379,14.3810,196.6364,4.2280,0.6021,0.0658,0.4014,0.9470,0.0215,0.0693
62.0000,70.0000,266.0481,30.5595,256.3750,5.6610,0.8450,0.5460,0.7506,0.9636,0.0221,0.1149
70.0000,78.0000,284.1150,31.0109,256.1250,5.6582,1.6187,1.3628,1.9188,0.9015,0.0221,0.1091
78.0000,86.0000,288.8481,31.5032,268.6250,5.7947,1.9115,0.8555,0.9435,0.9300,0.0216,0.1091
86.0000,94.0000,276.6555,30.1743,249.5000,5.5846,1.8958,1.8427,3.3127,0.9018,0.0224,0.1091
94.0000,102.0000,270.2830,32.0311,236.1250,5.4328,2.3858,1.7025,5.4638,0.8736,0.0230,0.1185
102.0000,110.0000,248.6243,31.1084,224.3750,5.2959,2.5051,1.7250,7.3173,0.9025,0.0236,0.1251
110.0000,122.0000,133.7506,16.6718,107.9167,2.9988,1.9217,1.8239,7.6976,0.8068,0.0278,0.1246
122.0000,140.0000,97.4639,12.0138,78.6111,2.0898,2.0217,1.7630,9.2864,0.8066,0.0266,0.1233
140.0000,156.0000,249.7598,30.0433,203.8125,3.5691,4.5287,3.0794,27.9462,0.8160,0.0175,0.1203
156.0000,172.0000,249.8993,28.7682,229.1250,3.7842,5.3677,3.7603,48.9570,0.9169,0.0165,0.1151
172.0000,188.0000,243.6045,26.6482,227.8125,3.7734,8.5302,4.4643,86.4629,0.9352,0.0166,0.1094
188.0000,204.0000,254.9654,12.7048,248.7500,3.9430,10.6415,5.4148,129.9705,0.9756,0.0159,0.0498
204.0000,228.0000,273.8442,13.3710,263.1667,3.3114,14.9699,6.7453,75.4488,0.9610,0.0126,0.0488
228.0000,260.0000,250.1974,10.6659,248.0625,2.7842,23.5923,8.7845,7.7966,0.9915,0.0112,0.0426
260.0000,292.0000,212.1676,9.2650,204.8750,2.5303,33.7778,12.6750,1.1300,0.9656,0.0124,0.0437
292.0000,324.0000,171.6098,7.3809,168.5312,2.2949,48.7106,16.9337,0.8613,0.9821,0.0136,0.0430
324.0000,356.0000,135.5044,5.6727,132.5000,2.0349,64.6234,19.6346,0.4135,0.9778,0.0154,0.0419
356.0000,388.0000,108.1502,4.5197,106.0312,1.8203,78.0094,23.1893,0.6238,0.9804,0.0172,0.0418
388.0000,444.0000,79.5796,3.3760,77.5000,1.1764,44.4475,27.7626,0.6979,0.9739,0.0152,0.0424
444.0000,508.0000,52.8567,2.2919,51.4531,0.8966,5.5864,35.8453,0.4343,0.9734,0.0174,0.0434
508.0000,572.0000,34.7488,1.5898,32.4062,0.7116,1.1256,51.4341,0.4722,0.9326,0.0220,0.0457
572.0000,636.0000,23.4820,1.0531,23.1406,0.6013,0.7310,38.3374,0.3826,0.9855,0.0260,0.0448
636.0000,700.0000,14.9649,0.6792,15.3906,0.4904,0.3994,6.0191,0.2618,1.0284,0.0319,0.0454
700.0000,764.0000,10.7789,0.5137,11.0469,0.4155,0.2143,0.9781,0.3220,1.0249,0.0376,0.0477
764.0000,892.0000,6.1944,0.2864,7.0234,0.2342,0.1695,0.3212,0.2443,1.1338,0.0334,0.0462
892.0000,1020.0000,3.2934,0.1944,3.3594,0.1620,0.1029,0.2487,0.1928,1.0200,0.0482,0.0590
1020.0000,1148.0000,1.7621,0.1036,1.8203,0.1193,0.0599,0.1745,0.2234,1.0331,0.0655,0.0588
1148.0000,1276.0000,1.0133,0.0638,1.1250,0.0938,0.0442,0.0365,0.2989,1.1103,0.0833,0.0630
1276.0000,1404.0000,0.6191,0.0448,0.5938,0.0681,0.0267,0.0459,0.3183,0.9591,0.1147,0.0724
1404.0000,1564.0000,0.2563,0.0242,0.2000,0.0354,0.0077,0.0050,0.3007,0.7805,0.1768,0.0943
1564.0000,1820.0000,0.0515,0.0081,0.0508,0.0141,0.0032,0.0029,0.0167,0.9856,0.2774,0.1569
