binX low edge,binX high edge,binY low edge,binY high edge,Data / GeV^2,"Sig (mX=700,mY=400) / GeV^2",Bkg / GeV^2
1296.0,1424.0,78.0,86.0,0.0127,0.00000000,0.0244
1296.0,1424.0,86.0,94.0,0.0283,0.00000000,0.0242
1296.0,1424.0,94.0,102.0,0.0244,0.00000000,0.0246
1296.0,1424.0,102.0,110.0,0.0225,0.00000000,0.0211
1296.0,1424.0,110.0,122.0,0.0111,0.00000000,0.0140
1296.0,1424.0,122.0,140.0,0.0091,0.00000000,0.0079
1296.0,1424.0,140.0,156.0,0.0171,0.00000000,0.0216
1296.0,1424.0,156.0,172.0,0.0195,0.00000000,0.0210
1296.0,1424.0,172.0,188.0,0.0156,0.00000000,0.0205
1296.0,1424.0,188.0,204.0,0.0151,0.00000000,0.0156
1296.0,1424.0,204.0,228.0,0.0120,0.00000000,0.0164
1296.0,1424.0,228.0,260.0,0.0134,0.00000000,0.0167
1296.0,1424.0,260.0,292.0,0.0164,0.00000072,0.0132
1296.0,1424.0,292.0,324.0,0.0134,0.00000090,0.0156
1296.0,1424.0,324.0,356.0,0.0132,0.00000000,0.0156
1296.0,1424.0,356.0,388.0,0.0159,0.00000041,0.0149
1296.0,1424.0,388.0,444.0,0.0110,0.00000061,0.0145
1296.0,1424.0,444.0,508.0,0.0137,0.00000009,0.0124
1296.0,1424.0,508.0,572.0,0.0120,0.00000018,0.0118
1296.0,1424.0,572.0,636.0,0.0103,0.00000017,0.0121
1296.0,1424.0,636.0,700.0,0.0115,0.00000014,0.0112
1296.0,1424.0,700.0,764.0,0.0096,0.00000053,0.0105
1296.0,1424.0,764.0,892.0,0.0103,0.00000116,0.0095
1296.0,1424.0,892.0,1020.0,0.0106,0.00000086,0.0100
1296.0,1424.0,1020.0,1148.0,0.0083,0.00000091,0.0095
1296.0,1424.0,1148.0,1276.0,0.0027,0.00000008,0.0042
1296.0,1424.0,1276.0,1404.0,0.0005,0.00000000,0.0005
1424.0,1552.0,140.0,156.0,0.0146,0.00000000,0.0141
1424.0,1552.0,156.0,172.0,0.0132,0.00000068,0.0102
1424.0,1552.0,172.0,188.0,0.0117,0.00000000,0.0130
1424.0,1552.0,188.0,204.0,0.0088,0.00000000,0.0097
1424.0,1552.0,204.0,228.0,0.0107,0.00000000,0.0088
1424.0,1552.0,228.0,260.0,0.0076,0.00000028,0.0096
1424.0,1552.0,260.0,292.0,0.0103,0.00000035,0.0098
1424.0,1552.0,292.0,324.0,0.0083,0.00000036,0.0100
1424.0,1552.0,324.0,356.0,0.0083,0.00000000,0.0086
1424.0,1552.0,356.0,388.0,0.0063,0.00000014,0.0072
1424.0,1552.0,388.0,444.0,0.0098,0.00000034,0.0080
1424.0,1552.0,444.0,508.0,0.0071,0.00000007,0.0090
1424.0,1552.0,508.0,572.0,0.0072,0.00000041,0.0069
1424.0,1552.0,572.0,636.0,0.0048,0.00000026,0.0071
1424.0,1552.0,636.0,700.0,0.0068,0.00000000,0.0053
1424.0,1552.0,700.0,764.0,0.0040,0.00000011,0.0060
1424.0,1552.0,764.0,892.0,0.0061,0.00000040,0.0062
1424.0,1552.0,892.0,1020.0,0.0049,0.00000045,0.0061
1424.0,1552.0,1020.0,1148.0,0.0049,0.00000054,0.0057
1424.0,1552.0,1148.0,1276.0,0.0057,0.00000016,0.0056
1424.0,1552.0,1276.0,1404.0,0.0023,0.00000008,0.0021
1424.0,1552.0,1404.0,1564.0,0.0005,0.00000000,0.0005
1552.0,1680.0,204.0,228.0,0.0068,0.00000000,0.0058
1552.0,1680.0,228.0,260.0,0.0056,0.00000000,0.0055
1552.0,1680.0,260.0,292.0,0.0044,0.00000010,0.0059
1552.0,1680.0,292.0,324.0,0.0066,0.00000000,0.0046
1552.0,1680.0,324.0,356.0,0.0046,0.00000000,0.0045
1552.0,1680.0,356.0,388.0,0.0042,0.00000000,0.0051
1552.0,1680.0,388.0,444.0,0.0056,0.00000000,0.0036
1552.0,1680.0,444.0,508.0,0.0049,0.00000023,0.0050
1552.0,1680.0,508.0,572.0,0.0032,0.00000013,0.0044
1552.0,1680.0,572.0,636.0,0.0032,0.00000015,0.0039
1552.0,1680.0,636.0,700.0,0.0048,0.00000029,0.0042
1552.0,1680.0,700.0,764.0,0.0042,0.00000020,0.0040
1552.0,1680.0,764.0,892.0,0.0038,0.00000019,0.0037
1552.0,1680.0,892.0,1020.0,0.0032,0.00000041,0.0032
1552.0,1680.0,1020.0,1148.0,0.0037,0.00000039,0.0037
1552.0,1680.0,1148.0,1276.0,0.0037,0.00000027,0.0035
1552.0,1680.0,1276.0,1404.0,0.0030,0.00000035,0.0035
1552.0,1680.0,1404.0,1564.0,0.0010,0.00000010,0.0012
1680.0,1808.0,764.0,892.0,0.0026,0.00000020,0.0019
1680.0,1808.0,892.0,1020.0,0.0018,0.00000000,0.0021
1680.0,1808.0,1020.0,1148.0,0.0022,0.00000033,0.0018
1680.0,1808.0,1148.0,1276.0,0.0022,0.00000008,0.0021
1680.0,1808.0,1276.0,1404.0,0.0025,0.00000013,0.0022
1680.0,1808.0,1404.0,1564.0,0.0020,0.00000012,0.0019
1680.0,1808.0,1564.0,1820.0,0.0005,0.00000000,0.0005
1808.0,1936.0,764.0,892.0,0.0009,0.00000000,0.0012
1808.0,1936.0,892.0,1020.0,0.0014,0.00000008,0.0011
1808.0,1936.0,1020.0,1148.0,0.0012,0.00000000,0.0012
1808.0,1936.0,1148.0,1276.0,0.0010,0.00000042,0.0013
1808.0,1936.0,1276.0,1404.0,0.0016,0.00000031,0.0014
1808.0,1936.0,1404.0,1564.0,0.0016,0.00000014,0.0013
1808.0,1936.0,1564.0,1820.0,0.0006,0.00000007,0.0007
