bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,Data / bkg,Data unc. / data,Bkg unc. / bkg
36.0000,51.0000,52.7877,2.8820,51.5333,1.8535,0.9762,0.0360,0.0546
51.0000,62.0000,135.5636,6.1665,130.3636,3.4426,0.9616,0.0264,0.0455
62.0000,70.0000,159.1369,17.7596,147.3750,4.2921,0.9261,0.0291,0.1116
70.0000,78.0000,162.5526,17.8732,152.3750,4.3643,0.9374,0.0286,0.1100
78.0000,86.0000,150.5302,16.5402,146.8750,4.2848,0.9757,0.0292,0.1099
86.0000,94.0000,136.9812,17.7209,139.5000,4.1758,1.0184,0.0299,0.1294
94.0000,102.0000,90.9383,13.1407,96.5000,3.4731,1.0612,0.0360,0.1445
102.0000,110.0000,7.3875,1.2175,7.3750,0.9601,0.9983,0.1302,0.1648
110.0000,122.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122.0000,140.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140.0000,156.0000,52.3013,6.6568,48.3125,1.7377,0.9237,0.0360,0.1273
156.0000,172.0000,136.5405,15.6668,132.4375,2.8770,0.9700,0.0217,0.1147
172.0000,188.0000,139.9308,15.4438,130.5000,2.8559,0.9326,0.0219,0.1104
188.0000,204.0000,138.9653,6.2412,134.8750,2.9034,0.9706,0.0215,0.0449
204.0000,228.0000,135.9898,6.0697,130.7500,2.3341,0.9615,0.0179,0.0446
228.0000,260.0000,128.6241,5.7497,124.6875,1.9740,0.9694,0.0158,0.0447
260.0000,292.0000,110.3791,5.1991,109.0625,1.8461,0.9881,0.0169,0.0471
292.0000,324.0000,93.3010,4.1419,89.8750,1.6759,0.9633,0.0186,0.0444
324.0000,356.0000,76.1819,3.2555,76.5938,1.5471,1.0054,0.0202,0.0427
356.0000,388.0000,59.3431,2.5796,62.5625,1.3982,1.0542,0.0223,0.0435
388.0000,444.0000,45.1739,1.8921,45.2857,0.8993,1.0025,0.0199,0.0419
444.0000,508.0000,30.2498,1.3094,28.4062,0.6662,0.9391,0.0235,0.0433
508.0000,572.0000,20.2905,1.0007,19.6250,0.5538,0.9672,0.0282,0.0493
572.0000,636.0000,13.5522,0.6151,14.2344,0.4716,1.0503,0.0331,0.0454
636.0000,700.0000,9.1795,0.4419,8.7812,0.3704,0.9566,0.0422,0.0481
700.0000,764.0000,6.4799,0.3131,6.3438,0.3148,0.9790,0.0496,0.0483
764.0000,892.0000,3.9587,0.1872,3.6797,0.1696,0.9295,0.0461,0.0473
892.0000,1020.0000,2.2550,0.1195,2.0312,0.1260,0.9008,0.0620,0.0530
1020.0000,1148.0000,1.1018,0.0767,1.2031,0.0970,1.0920,0.0806,0.0696
1148.0000,1276.0000,0.6731,0.0495,0.7656,0.0773,1.1375,0.1010,0.0736
1276.0000,1404.0000,0.4260,0.0346,0.3750,0.0541,0.8802,0.1443,0.0812
1404.0000,1564.0000,0.2224,0.0222,0.2500,0.0395,1.1243,0.1581,0.1000
1564.0000,1820.0000,0.0421,0.0068,0.0625,0.0156,1.4851,0.2500,0.1606
