bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,Data / bkg,Data unc. / data,Bkg unc. / bkg
340.0000,360.0000,20.2638,1.4262,18.1500,0.9526,0.8957,0.0525,0.0704
360.0000,392.0000,33.6102,2.4272,28.5938,0.9453,0.8507,0.0331,0.0722
392.0000,424.0000,49.2256,2.5616,46.0312,1.1994,0.9351,0.0261,0.0520
424.0000,456.0000,62.9451,3.4988,58.1875,1.3485,0.9244,0.0232,0.0556
456.0000,488.0000,74.9559,3.7932,72.3125,1.5033,0.9647,0.0208,0.0506
488.0000,520.0000,76.3542,3.4666,74.5312,1.5261,0.9761,0.0205,0.0454
520.0000,552.0000,81.3294,4.2660,78.3125,1.5644,0.9629,0.0200,0.0525
552.0000,584.0000,81.0502,3.7262,77.6250,1.5575,0.9577,0.0201,0.0460
584.0000,616.0000,77.3405,3.3089,77.2500,1.5537,0.9988,0.0201,0.0428
616.0000,648.0000,73.7016,3.2682,71.7812,1.4977,0.9739,0.0209,0.0443
648.0000,704.0000,67.4037,2.9628,63.8214,1.0676,0.9469,0.0167,0.0440
704.0000,768.0000,56.5863,2.4422,54.9062,0.9262,0.9703,0.0169,0.0432
768.0000,832.0000,46.3623,1.9671,44.0625,0.8297,0.9504,0.0188,0.0424
832.0000,896.0000,36.5352,1.5905,36.7500,0.7578,1.0059,0.0206,0.0435
896.0000,960.0000,28.7075,1.2261,29.2031,0.6755,1.0173,0.0231,0.0427
960.0000,1024.0000,23.1478,1.0007,22.1875,0.5888,0.9585,0.0265,0.0432
1024.0000,1088.0000,18.3510,0.8690,18.0938,0.5317,0.9860,0.0294,0.0474
1088.0000,1152.0000,14.6080,0.7563,13.9688,0.4672,0.9562,0.0334,0.0518
1152.0000,1216.0000,11.4913,0.5720,10.8594,0.4119,0.9450,0.0379,0.0498
1216.0000,1296.0000,8.5341,0.4040,9.0000,0.3354,1.0546,0.0373,0.0473
1296.0000,1424.0000,6.1292,0.2748,6.2266,0.2206,1.0159,0.0354,0.0448
1424.0000,1552.0000,3.7936,0.1812,3.9609,0.1759,1.0441,0.0444,0.0478
1552.0000,1680.0000,2.5149,0.1328,2.5156,0.1402,1.0003,0.0557,0.0528
1680.0000,1808.0000,1.5031,0.0950,1.7422,0.1167,1.1591,0.0670,0.0632
1808.0000,1936.0000,1.0696,0.0816,1.1797,0.0960,1.1030,0.0814,0.0763
