bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,Data / bkg,Data unc. / data,Bkg unc. / bkg
340.0000,360.0000,49.0036,3.7256,43.9000,1.4816,0.8959,0.0337,0.0760
360.0000,392.0000,65.2486,3.6270,61.8750,1.3905,0.9483,0.0225,0.0556
392.0000,424.0000,80.2348,4.1626,75.7812,1.5389,0.9445,0.0203,0.0519
424.0000,456.0000,93.0219,4.0256,86.4688,1.6438,0.9296,0.0190,0.0433
456.0000,488.0000,95.3715,4.2977,93.9688,1.7136,0.9853,0.0182,0.0451
488.0000,520.0000,95.2775,4.3641,94.8750,1.7219,0.9958,0.0181,0.0458
520.0000,552.0000,91.8829,4.0283,93.4062,1.7085,1.0166,0.0183,0.0438
552.0000,584.0000,87.8256,3.8771,84.4062,1.6241,0.9611,0.0192,0.0441
584.0000,616.0000,78.8661,4.1380,77.9375,1.5606,0.9882,0.0200,0.0525
616.0000,648.0000,69.5372,3.1072,71.1562,1.4912,1.0233,0.0210,0.0447
648.0000,704.0000,61.0451,2.9012,59.4464,1.0303,0.9738,0.0173,0.0475
704.0000,768.0000,48.2817,2.1278,46.5781,0.8531,0.9647,0.0183,0.0441
768.0000,832.0000,36.7400,1.6156,38.9688,0.7803,1.0607,0.0200,0.0440
832.0000,896.0000,29.3572,1.2486,27.8125,0.6592,0.9474,0.0237,0.0425
896.0000,960.0000,22.2653,0.9817,22.7031,0.5956,1.0197,0.0262,0.0441
960.0000,1024.0000,17.8528,0.7833,17.2344,0.5189,0.9654,0.0301,0.0439
1024.0000,1088.0000,13.7255,0.6272,12.1562,0.4358,0.8857,0.0359,0.0457
1088.0000,1152.0000,10.4182,0.4867,10.0156,0.3956,0.9614,0.0395,0.0467
1152.0000,1216.0000,8.4332,0.3977,8.0312,0.3542,0.9523,0.0441,0.0472
1216.0000,1296.0000,6.2738,0.3141,5.8125,0.2695,0.9265,0.0464,0.0501
1296.0000,1424.0000,4.3710,0.2159,4.3672,0.1847,0.9991,0.0423,0.0494
1424.0000,1552.0000,2.5712,0.1763,2.3359,0.1351,0.9085,0.0578,0.0686
1552.0000,1680.0000,1.8011,0.1278,1.6953,0.1151,0.9413,0.0679,0.0709
1680.0000,1808.0000,1.0583,0.0651,1.1562,0.0950,1.0926,0.0822,0.0615
1808.0000,1936.0000,0.6690,0.0520,0.8984,0.0838,1.3429,0.0933,0.0778
