bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,"Sig (mX=700,mY=400) / GeV","Sig (mX=900,mY=600) / GeV","Sig (mX=1600,mY=200) / GeV",Data / bkg,Data unc. / data,Bkg unc. / bkg
340.0000,360.0000,114.7047,5.5407,105.0000,2.2913,1.0378,0.4802,0.0671,0.9154,0.0218,0.0483
360.0000,392.0000,151.4182,8.5035,141.9062,2.1058,1.8402,0.8879,0.0351,0.9372,0.0148,0.0562
392.0000,424.0000,189.9136,9.4248,179.9688,2.3715,2.9659,1.6071,0.0184,0.9476,0.0132,0.0496
424.0000,456.0000,214.1586,10.4383,199.1562,2.4947,5.6302,2.1662,0.0810,0.9299,0.0125,0.0487
456.0000,488.0000,213.0418,9.6168,196.8750,2.4804,8.8320,3.2016,0.0982,0.9241,0.0126,0.0451
488.0000,520.0000,197.5591,8.7212,189.0000,2.4303,12.2860,3.9460,0.0894,0.9567,0.0129,0.0441
520.0000,552.0000,189.4101,8.5288,182.7812,2.3900,19.2946,5.6397,0.1887,0.9650,0.0131,0.0450
552.0000,584.0000,173.3196,7.2926,161.2500,2.2448,28.4422,7.4448,0.1760,0.9304,0.0139,0.0421
584.0000,616.0000,152.3139,6.6364,145.9688,2.1358,41.3308,9.8339,0.2386,0.9583,0.0146,0.0436
616.0000,648.0000,135.2762,5.8939,127.5000,1.9961,56.2113,12.5193,0.3405,0.9425,0.0157,0.0436
648.0000,704.0000,113.6746,4.9254,108.6071,1.3926,69.7480,19.0857,0.3986,0.9554,0.0128,0.0433
704.0000,768.0000,89.0420,3.8688,86.1094,1.1599,29.6652,28.2962,0.6412,0.9671,0.0135,0.0434
768.0000,832.0000,69.9805,3.1841,65.4375,1.0112,3.5891,45.0145,0.5598,0.9351,0.0155,0.0455
832.0000,896.0000,52.6345,2.4583,49.9219,0.8832,1.3146,55.5210,1.0589,0.9485,0.0177,0.0467
896.0000,960.0000,40.6139,1.7281,39.2969,0.7836,0.8553,29.5671,1.5311,0.9676,0.0199,0.0425
960.0000,1024.0000,30.6815,1.4896,30.7031,0.6926,0.4912,4.9618,2.4406,1.0007,0.0226,0.0486
1024.0000,1088.0000,23.0149,1.0237,23.0469,0.6001,0.4251,1.3170,5.9129,1.0014,0.0260,0.0445
1088.0000,1152.0000,18.4348,0.8376,17.0469,0.5161,0.3213,0.6766,17.8344,0.9247,0.0303,0.0454
1152.0000,1216.0000,14.1049,0.6774,14.2031,0.4711,0.2085,0.3773,26.7122,1.0070,0.0332,0.0480
1216.0000,1296.0000,10.8412,0.5634,10.3250,0.3593,0.1639,0.3211,4.6833,0.9524,0.0348,0.0520
1296.0000,1424.0000,7.4730,0.3540,7.0312,0.2344,0.1239,0.2538,0.4890,0.9409,0.0333,0.0474
1424.0000,1552.0000,4.6356,0.2603,4.3203,0.1837,0.0873,0.1226,,0.9320,0.0425,0.0562
1552.0000,1680.0000,2.9395,0.1566,2.8125,0.1482,0.0557,0.0882,,0.9568,0.0527,0.0533
1680.0000,1808.0000,1.8085,0.1332,1.7109,0.1156,0.0394,0.0747,,0.9460,0.0676,0.0736
1808.0000,1936.0000,1.1554,0.0938,1.2422,0.0985,0.0218,0.0420,,1.0751,0.0793,0.0812
