bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,"Sig (mX=700,mY=400) / GeV","Sig (mX=900,mY=600) / GeV","Sig (mX=1600,mY=200) / GeV",Data / bkg,Data unc. / data,Bkg unc. / bkg
36.0000,51.0000,73.5634,4.5691,68.6000,2.1385,0.1739,0.2952,0.2256,0.9325,0.0312,0.0621
51.0000,62.0000,258.8431,14.0115,237.3636,4.6453,1.2370,0.5254,0.6862,0.9170,0.0196,0.0541
62.0000,70.0000,355.0580,39.0790,334.8750,6.4699,1.6291,0.6547,1.0408,0.9432,0.0193,0.1101
70.0000,78.0000,397.8782,43.7936,382.3750,6.9135,2.2515,2.6935,3.2453,0.9610,0.0181,0.1101
78.0000,86.0000,404.9295,44.6817,395.3750,7.0301,2.5428,2.0826,5.8550,0.9764,0.0178,0.1103
86.0000,94.0000,404.2754,44.4463,373.8750,6.8363,2.5996,2.9324,11.0159,0.9248,0.0183,0.1099
94.0000,102.0000,397.5292,44.3356,369.7500,6.7984,4.9545,3.4230,16.5248,0.9301,0.0184,0.1115
102.0000,110.0000,371.5022,41.6375,328.7500,6.4104,4.7958,3.7034,21.0153,0.8849,0.0195,0.1121
110.0000,122.0000,195.3699,22.0106,165.2500,3.7109,4.1790,3.2146,15.6687,0.8458,0.0225,0.1127
122.0000,140.0000,138.8300,15.7187,114.8889,2.5264,3.5423,4.0389,23.0900,0.8276,0.0220,0.1132
140.0000,156.0000,360.2472,40.4023,310.3125,4.4039,8.9469,6.5739,68.3455,0.8614,0.0142,0.1122
156.0000,172.0000,356.3701,39.0479,326.1875,4.5152,11.8612,7.5047,119.2666,0.9153,0.0138,0.1096
172.0000,188.0000,354.6141,38.7436,329.6875,4.5393,14.3478,8.9066,216.1867,0.9297,0.0138,0.1093
188.0000,204.0000,363.7167,15.8976,348.0000,4.6637,22.8917,11.9141,307.4288,0.9568,0.0134,0.0437
204.0000,228.0000,376.8759,15.7533,352.8333,3.8342,30.4846,13.3837,158.5916,0.9362,0.0109,0.0418
228.0000,260.0000,358.5968,15.3312,343.8438,3.2780,44.9134,18.8526,14.9473,0.9589,0.0095,0.0428
260.0000,292.0000,325.3911,13.9932,308.0312,3.1026,70.0035,27.5306,3.4195,0.9466,0.0101,0.0430
292.0000,324.0000,277.1488,11.8733,262.8750,2.8662,100.7330,34.0044,1.7216,0.9485,0.0109,0.0428
324.0000,356.0000,224.3034,9.5461,217.1875,2.6052,135.5050,42.2018,1.5047,0.9683,0.0120,0.0426
356.0000,388.0000,182.3267,8.1730,174.4062,2.3346,163.2304,51.8581,1.8252,0.9566,0.0134,0.0448
388.0000,444.0000,134.1782,5.5499,131.5357,1.5326,86.2468,58.4064,1.3248,0.9803,0.0117,0.0414
444.0000,508.0000,92.0883,3.8929,87.2344,1.1675,9.0979,79.2755,0.9950,0.9473,0.0134,0.0423
508.0000,572.0000,61.7789,2.6654,60.8750,0.9753,2.5064,111.2768,0.7757,0.9854,0.0160,0.0431
572.0000,636.0000,41.4343,1.7557,39.0938,0.7816,1.3679,72.0592,0.9403,0.9435,0.0200,0.0424
636.0000,700.0000,29.1930,1.2405,28.7188,0.6699,0.8054,9.7615,0.9984,0.9838,0.0233,0.0425
700.0000,764.0000,20.6921,0.9957,19.5156,0.5522,0.5552,1.7136,0.7083,0.9431,0.0283,0.0481
764.0000,892.0000,12.4589,0.5363,12.7500,0.3156,0.3988,0.7253,0.7308,1.0234,0.0248,0.0430
892.0000,1020.0000,6.4294,0.3109,6.5625,0.2264,0.2084,0.4209,0.6540,1.0207,0.0345,0.0484
1020.0000,1148.0000,3.5706,0.1720,3.3828,0.1626,0.1597,0.2727,0.5772,0.9474,0.0481,0.0482
1148.0000,1276.0000,2.1417,0.1223,1.9609,0.1238,0.0648,0.0918,0.5050,0.9156,0.0631,0.0571
1276.0000,1404.0000,1.1842,0.0681,1.2109,0.0973,0.0556,0.1288,0.5544,1.0225,0.0803,0.0575
1404.0000,1564.0000,0.5605,0.0364,0.5750,0.0599,0.0227,0.0084,0.4992,1.0259,0.1043,0.0649
1564.0000,1820.0000,0.1122,0.0110,0.0938,0.0191,0.0045,0.0106,0.0185,0.8353,0.2041,0.0978
